index,vendor,company_name,company_number,known_address,status,urls_count,scrape_count,error,ext_company_name,ext_company_number,ext_incorporation_date,ext_address,ext_postal_code,ext_city,ext_country,ext_about,ext_services,ext_industry,ext_sic_codes,ext_directors,ext_other_info,ext_confidence,ext_match_reasoning,ext_trading_name,ext_phone,ext_email,ext_website,ext_products,ext_employees,ext_turnover,ext_key_contacts,ext_linkedin,ext_certifications,ext_partners,ext_clients,ext_fax,ext_-_company_status,ext_-_company_type,ext_-_accounts_category,ext_-_financial_year_end,ext_-_latest_annual_accounts,ext_-_next_annual_accounts_due,ext_-_latest_confirmation_statement,ext_-_next_confirmation_statement_due,ext_-_company_size,ext_-_persons_with_significant_control_(psc),ext_vat_number,ext_twitter,ext_facebook,ext_other_social,ext_-_next_accounts_made_up_to,ext_-_next_accounts_due_by,ext_-_last_accounts_made_up_to,ext_-_next_confirmation_statement_date,ext_-_next_confirmation_statement_due_by,ext_-_last_confirmation_statement_dated,ext_-_director_nadine_charles's_nationality,ext_-_director_nadine_charles's_country_of_residence,ext_-_director_nadine_charles's_date_of_birth,ext_-_initial_registered_office_address_(before_change_on_26_october_2020),ext_-_age,ext_-_previous_registered_address,ext_-_cash_in_bank,ext_-_net_worth,ext_-_total_assets,ext_-_total_liabilities,ext_-_debt_ratio,ext_-_previous_company_name,ext_-_previous_registered_office_address,ext_-_person_with_significant_control_(psc),ext_-_size,ext_-_jurisdiction_authority,ext_-_vat_issuing_authority,ext_-_vat_status,ext_-_vat_number_issued,ext_-_previous_company_names,ext_-_end_of_financial_year,ext_-_financials_(as_of_31_dec_2024),ext_-_mutual_companies_(through_shared_directors),ext_-_financials_(as_of_31_dec_2023),ext_awards,ext_-_incorporated_in,ext_-_next_confirmation_statement_due_date_(as_of_2017)
0,Alder Grimes & Gooderham,DOHERTY & GOODERHAM SURVEYING SERVICES LTD,16550271,"11 Spindleberry Avenue, Wellingborough, NN8 1GQ",success,9,7,,DOHERTY & GOODERHAM SURVEYING SERVICES LTD,16550271,30 June 2025,"11 Spindleberry Avenue, Wellingborough, England, NN8 1GQ",NN8 1GQ,Wellingborough,England,The company performs quantity surveying activities. It is a private limited company.,Quantity surveying activities,Surveying,74902 - Quantity surveying activities,"DOHERTY GOODERHAM, Harry Martin","Company Status: Active. Company Type: Private Limited Company. Country of Origin: United Kingdom. First accounts made up to: 30 June 2026, due by 31 March 2027. First confirmation statement date: 29 June 2026, due by 13 July 2026. No accounts filed yet. No mortgages or charges mentioned.",high,"All extracted information directly pertains to ""DOHERTY & GOODERHAM SURVEYING SERVICES LTD"" (Company No. 16550271) as identified by multiple official sources like Companies House, The Gazette, and Identeco. Information from other companies (DOHERTY SURVEYORS LTD, Doherty Civils Limited) was explicitly excluded. The core identifying information (name, company number, address) matches across all relevant sources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Armstrong-Priestley Ltd.,ARMSTRONG-PRIESTLEY LIMITED,01250869,"Seventy Seven, Holbeck Lane, Leeds, West Yorkshire, LS11 9UL",success,9,9,,ARMSTRONG-PRIESTLEY LIMITED,01250869,24 March 1976,"Seventy Seven, Holbeck Lane, Leeds, West Yorkshire, LS11 9UL",LS11 9UL,Leeds,UK,"Armstrong Priestley is the UK’s leading independent fire protection contractor, specializing in the design and installation of high-quality automatic fire sprinkler systems. They have been in business for over 45 years, delivering systems on time and on budget across various sectors including Commercial, Education, Residential, and Industrial. They also provide third-party certification, testing, and maintenance services for their installations.","Automatic Fire Sprinklers, Fire Suppression Solutions, Fire Sprinkler Servicing, Fire Protection, Fire Engineering Technology, Water Mist, Foam, Fire Extinguishing Systems, Hydrants, Hose Reels, Wet & Dry Riser.","Public Safety, Other construction installation",43290 - Other construction installation,"Anne-Marie Cable, Steven John Brailey, Barry Alan Ebbs","Company Status: Active. Company Type: Private limited Company. Age: 49 years. Other office locations: Maidstone (Kent), South Shields (Tyne and Wear), Manchester (Greater Manchester). Financials (as of 31 Mar 2025): Cash in Bank £2.4M, Total Assets £11.72M, Total Liabilities -£5.27M, Net Assets £6.44M, Debt Ratio 45%. Total Mortgages Outstanding: 0, Total Mortgages Satisfied: 4. Mutual Companies: Armstrong Priestley Holdings Limited, Scat Plant Limited, Demolition Recycling Limited. Exhibited at Build North Expo 2025.",high,"All extracted information directly corresponds to the target company ""Armstrong-Priestley Ltd."" based on the provided Vendor Name, Registered Company Name, Known Address, and matching Company Number (01250869) across multiple official company registries (Companies House, CompanyCheck, Endole) and the company's own website and LinkedIn profile.",Armstrong Priestley,"08450560390, 0113 394 4040",unknown (available in Endole App),https://www.armstrongpriestley.co.uk/,"Automatic Fire Sprinkler Systems, Water Mist Systems, Foam Systems, Fire Extinguishing Systems, Hydrants, Hose Reels, Wet Risers, Dry Risers.",68 (as of 31 Mar 2025 financials),£15.54M (for period 31 Mar 2025),"Peter Armstrong (Chairman - noted as previous director), Glenn Hill (Project Design Engineer), Paul Deegan (Residential Project Manager)",https://uk.linkedin.com/company/armstrong-priestley,"LPCB Level 4 Certification (for commercial and industrial fire sprinkler systems), FIRAS Certification (for Residential and Domestic fire sprinkler systems), ISO 9001:2015 certification (for Leeds office)",Mason Navarro Pledge Ltd (mentioned as reposted content on LinkedIn),Private and public sector clients (no specific names mentioned),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bailey International Steeplejack Co,BAILEY INTERNATIONAL STEEPLEJACK COMPANY LIMITED,02986975,"Bailey Business Park, Grimshaw Lane, Bollington, SK10 5NY",success,9,8,,BAILEY INTERNATIONAL STEEPLEJACK COMPANY LIMITED,02986975,4 November 1994,"Bailey Business Park, Grimshaw Lane, Bollington, Macclesfield, SK10 5NY",SK10 5NY,Bollington,United Kingdom (England),"Expert Steeplejacks at the cutting edge of safety and innovation, providing unsurpassed quality and safety for projects. They specialize in the maintenance, repair, and inspection of tall structures, including industrial chimneys, and also offer lightning protection systems. They have over 25 years of trading experience with an expanding portfolio of blue-chip clients globally.","Steeplejack Services, Industrial Rope Access, Rescue, Lightning Protection, Industrial Chimney Inspections, Industrial Chimney Repairs, Fall Arrest Systems, High Level Access, Refractory Linings, Lightning Protection Testing, Lightning Protection Design & Installation, Lightning Protection Maintenance & Repair, Earthing Systems, Surge Protection, Industrial Chimney Services, High Level Inspection, Aircraft Warning Light Design & Installation.","Construction, Other specialised construction activities not elsewhere classified. Specialist industries served include Power Generation, Independent Power, Petrochemical, Refineries, Waste to Energy, Nuclear, Manufacturing, Paper & Pulp, Smelting, Listed buildings.",43999,"Andrew Robert Bailey (Active Director), Sheila Molyneux (Active Director)","Company status: Active. Company type: Private limited Company. Registered in England & Wales. Part of a group including Bailey Properties Development Limited, Bailey Business Park Ltd, Bailey Business Park (Stockport) Limited. Provides 24/7 Emergency Response. Offers free, expert advice and no-obligation quotations.",high,"The company name, registered number, and address are consistently confirmed across multiple official sources (Companies House, Endole) and the company's own websites (bailey.international, baileysteeplejacks.com, baileylightning.com, LinkedIn). All extracted information directly pertains to the target company.","Bailey International Steeplejack Co, Bailey Steeplejacks, Bailey International, Bailey International (Steeplejack) Co. Ltd.","+44 (0)1625 576 243 (also 01625576243, 24hr emergency response available)","info@baileylightning.com, info@baileysteeplejacks.com, info@bailey.international","bailey.international, www.baileysteeplejacks.com, www.baileylightning.com","Lightning protection systems (using brands like Furse, DEHN, ERICO, Wallis).",26 (as of 31 December 2024),Unreported (as of 31 December 2024),"Andrew Robert Bailey (Managing Director, Person with Significant Control), Sheila Molyneux (Secretary), Mark Lewis (Technical Manager), Paul Connell (Steeplejack Operations Manager), Jules Humphreys-Peck (Administration Manager).",https://uk.linkedin.com/company/bailey-international-steeplejack-company-limited,"BS EN ISO 9001 registration, over a dozen other accreditations, fully accredited.",,Many blue-chip & multi-national organisations (no specific names mentioned).,+44 (0)1625 576 789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Booth And Barrel Ltd.,BOOTH AND BARREL LTD,15928704,"3a Mansfield Road, Hasland, Chesterfield, S41 0JB",success,10,10,,BOOTH AND BARREL LTD,15928704,2 September 2024,"3a Mansfield Road, Hasland, Chesterfield, England, S41 0JB",S41 0JB,Chesterfield,England,The company operates public houses and bars.,,Public houses and bars,56302,"Mollie Claire James (Active Director); Elliot Lloyd Booth (Former Director, resigned 2 September 2024)","Company Status: Active; Company Type: Private Limited Company; Company Age: 1 year 2 months (as of November 2024); Company Size: Micro company; Capital: GBP 2; Person with Significant Control: Miss Mollie Claire James; Accounts Status: Not yet submitted, first accounts due by 2 June 2026 (for period ending 30 September 2025); Confirmation Statement Status: Overdue (due by 18 November 2025, last statement 4 November 2024)",high,"All extracted information is directly from official company registries (GOV.UK Companies House) or reputable company information platforms (Endole, CadFiles.ai) and consistently matches the target company name (BOOTH AND BARREL LTD) and company number (15928704), as well as the known address.",,,,,,Under 10,Under £1M,"Mollie Claire James (Director); Elliot Lloyd Booth (Former Director, Former Person with Significant Control)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,City Estates (London) Ltd.,CITY ESTATES  (LONDON) LIMITED,05311862,"141a Stamford Hill, London, N16 5LG",success,10,8,,CITY ESTATES (LONDON) LIMITED,05311862,13 December 2004,"141a Stamford Hill, London, N16 5LG",N16 5LG,London,United Kingdom,The company is active in the management of real estate on a fee or contract basis. It is classified as a Private Limited Company and a Micro company.,Management of real estate on a fee or contract basis,Real Estate Management,68320,"Alan Lewin, Leslie Zucker","Company status: Active. Company type: Private Limited Company. Company Age: 20 years. Size: Micro (Turnover under £1M, Balance sheet under £500,000). Registered office address has been the same for the past 20 years. City & Town Group Limited is listed as a Person with Significant Control (PSC).",high,"All extracted information, especially company name, number, address, and incorporation date, is consistently verified across multiple official and reputable company data sources (Companies House, Company Compass, CompanyCheck, Endole). Directors, SIC code, and employee count are also directly stated. The website is explicitly linked to the company in one of the reliable sources.",,02088095051,,Londontowngroup.com,,11,Unreported (under £1M),"Esther Lewin (Secretary), Esther Zucker (Secretary)",,,"Sunville Properties Limited, City & Town Group Limited, Gloucester Haven Limited, Crewpride Limited, Adonic Enterprisers Limited, Havencourt Estates Limited, Pine Investments Limited, Haybridge Limited (these are mutual companies with shared directors/people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,D L T Waste Water Treatment Ltd.,D L T WASTE WATER TREATMENT LTD,06201753,"16 Kempley Brook Drive, Ledbury, Herefordshire, HR8 2FJ",success,10,8,,D L T WASTE WATER TREATMENT LTD,06201753,3 April 2007,"16 Kempley Brook Drive, Ledbury, Herefordshire, HR8 2FJ",HR8 2FJ,Ledbury,United Kingdom,D L T WASTE WATER TREATMENT LTD is an active private limited company incorporated in the United Kingdom. Its primary business activity is the treatment and disposal of non-hazardous waste. It is classified as a micro-entity.,Treatment and disposal of non-hazardous waste,"Waste Management, Environmental Services",38210 - Treatment and disposal of non-hazardous waste,"Melvyn Dean Manns, Timothy Roger Powell",,high,"The target company name, registered company name, known address, and company number (06201753) are consistently matched across all provided sources, including official company registration data from GOV.UK and Companies in the UK. This provides a very high level of confidence that the extracted information pertains to the specified target company.",,,,,,4 (as of 31 March 2025),Under £1M (as of 31 March 2025),"Melvyn Dean Manns (Director, Secretary, Manager), Timothy Roger Powell (Director)",,,,,,Active,Private Limited Company,Total Exemption Full,31 March,Made up to 31 March 2025,By 31 December 2026,Dated 25 March 2025,By 8 April 2026,"Micro (Turnover under £1M, Balance sheet under £500,000, Under 10 employees)","Mr Timothy Roger Powell, Mr Melvyn Dean Manns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9D Energy Ltd.,9D ENERGY LTD,08506105,"9d Energy Ltd Unit 19/20, Broadfields Park, Seaview Road, Cowes, PO31 7US",success,9,9,,9D ENERGY LTD,08506105,26 April 2013,"9d Energy Ltd Unit 19/20, Broadfields Park, Seaview Road, Cowes, Isle Of Wight, England, PO31 7US",PO31 7US,"Cowes, Isle Of Wight",England,"9D Energy Ltd is an active private limited company involved in management consultancy activities (other than financial management), other research and experimental development on natural sciences and engineering, and environmental consulting activities. The company's tagline is ""THINKING OUTSIDE THE BOX FOR SOLUTIONS"".","Management consultancy (other than financial management), research and experimental development on natural sciences and engineering, environmental consulting.","Management Consulting, Research & Development, Environmental Consulting",70229 - Management consultancy activities other than financial management; 72190 - Other research and experimental development on natural sciences and engineering; 74901 - Environmental consulting activities,John Lubimir; Jeremy Spencer Nicholas Waitt,Company status: Active. Company type: Private limited Company. Accounts category: Micro.,high,"All extracted information directly corresponds to the target company ""9D Energy Ltd."" (Company number 08506105) as found across multiple official and reputable sources, including Companies House and the company's own website. The address, company number, VAT number, incorporation date, directors, SIC codes, and contact details are consistently reported.",,01983 898654,,https://www.9de.co.uk/,,3,Under £1M (specific value unreported),,,,,,,,,,,,,,,,,381 2008 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Blackburn With Darwen Borough Counc,BLACKBURN WITH DARWEN COUNCIL FOR VOLUNTARY SERVICE ,02668971,"Boulevard Centre - 45 Railway Road, Blackburn, BB1 1EZ",success,9,7,,BLACKBURN WITH DARWEN COUNCIL FOR VOLUNTARY SERVICE,02668971,6 December 1991,"Boulevard Centre - 45 Railway Road, Blackburn, BB1 1EZ",BB1 1EZ,Blackburn,UK,"We aim to connect people and grow communities. We do this by action - encouraging communities to take control; support - helping the most vulnerable within our community (e.g. ex-offenders, homeless, people in recovery, people with physical or mental health conditions, etc.); resource - helping groups with governance, funding, etc. volunteer - promoting and using volunteers to initiate change.","Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","Voluntary Sector, Charity, Membership Organisation",94990 - Activities of other membership organisations not elsewhere classified,"Amar Abbas (Director), Nicola McGrath (Director), Mohammed Tayyab Sidat (Director), Hannah Louise Allen-Robson (Director), Rev DR Canon Shannon Carroll Ledbetter (Director), Sajida Shah (Director)","Charity number: 1008190. Organisation type: Charitable company, Private Limited Company by guarantee without share capital, use of 'Limited' exemption. Company status: Active. Age: 33 years. Size: Small (under £15M turnover, under £7.5M balance sheet, under 50 employees). Registered in Blackburn, Lancashire, England. Owns and/or leases land or property. Total income: £1,709,651 (31 Mar 2024). Total expenditure: £1,515,374 (31 Mar 2024). Net Assets: £1.63M (31 Mar 2024). Cash in Bank: £1.06M (31 Mar 2024). Debt Ratio: 25% (31 Mar 2024). 30 Volunteers. Policies mentioned: Bullying and harassment, Complaints handling, Conflicting interests, Financial reserves, Internal charity financial controls, Internal risk management, Paying staff, Risk management, Safeguarding, Serious incident reporting, Social media, Trustee conflicts of interest, Trustee expenses, Volunteer management. Not recognised by HMRC for gift aid. Operates in: Blackburn With Darwen, Blackpool, Lancashire.",high,"The registered company name, company number (02668971), and known address (Boulevard Centre - 45 Railway Road, Blackburn, BB1 1EZ) are consistently matched across all provided web content sources (Endole, CompanyCheck, Charity Commission, Companies House, Find that Charity). The information extracted is directly from these official and reputable sources.",THE BLACKBURN HYNDBURN AND RIBBLE VALLEY COUNCIL FOR VOLUNTARY SERVICE (Previous name),01254583957,,Blackburn.gov.uk,,35 (as of 31 March 2024),"£1,709,651 (for financial year ending 31 March 2024)","Hannah Louise Allen-Robson (Chief Executive), Jeremy Garth Hodgkinson (Company Secretary)",,,"Lancashire Association Of Councils For Voluntary Service, National Association For Voluntary And Community Action, Voluntary Sector North West, Housing People, Building Communities Limited, Blackburn With Darwen Healthy Living, Care Network (Blackburn With Darwen) Ltd, Onside Youth Zones, Travelassist Limited","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CACI Ltd.,CACI LIMITED,01649776,"Caci House Kensington Village, Avonmore Road, London, W14 8TS",success,9,7,,CACI LIMITED,01649776,9 July 1982,"Caci House Kensington Village, Avonmore Road, London, W14 8TS",W14 8TS,London,United Kingdom,"An active private limited company incorporated in 1982, involved in other software publishing, information technology consultancy activities, data processing, hosting and related activities, and market research and public opinion polling.","Software publishing, Information technology consultancy, Data processing, Hosting, Market research, Public opinion polling.","Software Publishing, IT Consultancy, Data Processing, Market Research","58290 - Other software publishing; 62020 - Information technology consultancy activities; 63110 - Data processing, hosting and related activities; 73200 - Market research and public opinion polling",Steven Arthur Sadler; Catherine Sutherland; Kandyce Tester; Tracy Weir,Company Status: Active; Company Type: Private limited Company; Age: 43 years; Previous company name: SECUREFAME LIMITED (09 Jul 1982 - 21 Jan 1983); Company Size: Large (Balance sheet is over £27M),high,"All extracted data points are directly from official company registration sources (Companies House, CompanyCheck, Endole) and consistently refer to the target company ""CACI LIMITED"" with company number 01649776 and the specified address.",CACI Ltd.,020 76026000,,Caci.co.uk,Software,Over 250 employees,Over £54M,Raj Afghan (Company Secretary),,,Caci Holdings Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chelmsford City Council,CHELMSFORD COUNCIL FOR VOLUNTARY SERVICE ,05586169,"Centre Supporting Voluntary Action, Burgess Well House, Coval Lane, Chelmsford, CM1 1FW",success,10,9,,CHELMSFORD COUNCIL FOR VOLUNTARY SERVICE,05586169,7 October 2005,"Centre Supporting Voluntary Action, Burgess Well House, Coval Lane, Chelmsford, CM1 1FW",CM1 1FW,Chelmsford,UK,"An independent support and development organisation set up to champion, support and strengthen local charities, voluntary and community groups. It works to support, promote, and develop local voluntary action to improve the effectiveness of voluntary and community organisations in Chelmsford, Essex. The organisation believes that voluntary and community action is essential for vibrant and caring local communities. It offers specialist information and support, spreads good practice, encourages joint working, helps groups find funding, encourages local people to get involved, works with partners to develop projects, promotes equality and diversity, helps public bodies engage with local voluntary organisations, and ensures policy makers understand the needs of local voluntary organisations and community groups. It works locally and in collaboration with other partners across Essex, Southend and Thurrock to maximise voluntary and community action, develop strong communities and enhance local wellbeing.","Support and development for local charities, voluntary and community groups. Hosts projects including: Chelmsford Volunteering Centre, Chelmsford 4 Good, Chelmsford Men's Shed, Writtle Garden, Tennyson Live Well Garden, SWF Community Garden, South Woodham Ferrers Community Hub, Seated Yoga, Computer Club with IT Man, Ukrainians in Chelmsford, Caffe Marconi Knitting Group, Community Corner, Chelmsford 100, Number 11, The Meadows, Pre-Loved Prom, SWOT, Live Well Link Well Connect Well, Winter Warm, My Weight Matters, Holiday Hamper.","Activities of other membership organisations not elsewhere classified, Economic/community Development/employment",94990,"Allison Lofthouse, John Knott, Louis Langenberg, Greg Deacon, Glenda Daines, Sue Dobson","Company type: Private Limited Company by guarantee without share capital use of 'Limited' exemption. Charity number: 1112483. 122 Volunteer(s). Governance: Charitable company. Recognised by HMRC for gift aid. Policies: Complaints handling, Complaints policy and procedures, Conflicting interests, Financial reserves policy and procedures, Internal charity financial controls policy and procedures, Internal risk management policy. Total expenditure: £446,067 (for financial year ending 31 March 2024). Operates in Chelmsford, Essex, Southend, Thurrock.",high,"The extraction is based on the exact Registered Company Name ""CHELMSFORD COUNCIL FOR VOLUNTARY SERVICE"" and its associated Company Number (05586169) and Charity Number (1112483). The address provided in the prompt matches the registered office address across multiple official sources (Companies House, Charity Commission) and the company's own website. All information is directly sourced from these highly reliable documents and the company's official website.","Chelmsford CVS, CHELMSFORD 4 GOOD","01245 280731, 01245 351888",info@chelmsfordcvs.org.uk,https://chelmsfordcvs.org.uk/,,12,"£517,699 (Total income for financial year ending 31 March 2024)","Lorraine Jarvis (Chief Officer), Sally Medd (Volunteer Centre & Projects Manager), Jane Latham (Social Prescribing Link Co-ordinator Team Leader), Hollie Allen (Hub & Helpline Co-ordinator), Frank Gyasi (Social Prescribing Link Co-ordinator), Verity Hyett (Volunteer Centre Assistant), Penny Collantine (Social Prescribing Link Co-ordinator), Julie Clark (Social Prescribing Link Co-ordinator), Kellie Yarlett (Social Prescribing Link Co-ordinator), Caroline Teplizki (Community Development Officer - inferred)",https://www.linkedin.com/company/chelmsford-council-for-voluntary-service-cvs,NAVCA member,"Other partners across Essex, Southend and Thurrock; Public bodies.","Local charities, voluntary and community groups; Other Charities Or Voluntary Bodies; Families.",,,,,,,,,,,,,https://twitter.com/chelmsfordcvs,https://www.facebook.com/chelmsfordcvs,YouTube (URL not fully provided),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
